,PlayerID_1,PlayerID_2,SurfaceID,Date,Name_1,Name_2,Odds_1,Odds_2,FS,W1SP,W2SP,WSP,WRP,TPW,ACES,DF,BP,COMPLETE,SERVEADV,DIRECT,UNC,Odds_1_prob,Odds_2_prob,Odds,Y_hat,diff
0,44548,11489,1.0,2019-10-15,Roy Smith,Marcelo Arevalo,2.809999942779541,1.3899999856948853,-0.4631088323498535,-0.5900110369995786,-0.3760052407853576,-0.759644415430628,-1.2785648324492935,-0.3558218947077265,0.17732989431037838,-0.2482539562557332,-0.04344390079104298,-1.2952879519446427,-1.2440079189878412,0.5,0.5850351634161689,0.3558718933676701,0.7194244678355752,-0.3635525744679051,0.34144965,-0.01442224522580915
1,18016,22323,1.0,2019-10-15,Liam Broady,Roberto Cid,1.559999942779541,2.299999952316284,0.13213570016749304,0.38429425470289974,-0.10355897140399842,0.25697836761870885,-0.21563528293576606,0.20837781798958557,0.5729480791987274,0.5160681397572614,-0.41684911623788923,-0.27627157576180705,-0.27953912108497575,0.5,0.7786823640095667,0.6410256645383223,0.4347826177095873,0.206243046828735,0.5639906,-0.07703507158177936
2,37047,65383,2.0,2019-10-15,Facundo Juarez,Arklon Huertas Del Pino,1.850000023841858,1.909000039100647,1.5307614917115568,-1.2468968626869632,0.1956132018921613,-0.56489035878714,0.3573320909746504,0.10694465194657604,-0.06308151384339922,1.4696110953063204,1.0524458763351614,-0.06586441601972075,-0.1369284583370765,0.0,1.406109903701923,0.5405405335743294,0.5238344575786976,0.016706075995631786,0.46186978,-0.07867075732539752
3,61971,9403,2.0,2019-10-15,Francisco Comesana,Jose Pereira,2.200000047683716,1.6399999856948853,0.2759655580699019,-0.9832315284775442,-1.0854521385839893,-1.189007990552117,-1.2927491890343843,-0.6317911073364333,-0.06308151384339922,0.08648564783754926,-0.8655448476053543,-1.4564583799743824,-1.5265213454607154,0.0,0.9938915802813256,0.4545454446934474,0.6097561028796531,-0.15521065818620572,0.48526195,0.030716502223132824
4,64916,24870,2.0,2019-10-15,Matheus Pucinelle De Almeida,Rafael Matos,2.940000057220459,1.3799999952316284,-0.8816017170221211,0.9569008963094792,0.17992581459600812,0.6372555281103849,-0.7135463830758769,-0.7004645430046337,0.20419940463344766,-0.2064115057440728,-1.2751337205807363,-0.2121624506968882,-0.013150418827176496,0.5,0.9312066417325104,0.34013604780178885,0.7246376836632911,-0.3845016358615022,0.369589,0.02945295313853402
5,48871,9997,1.0,2019-10-15,Yuta Shimizu,Ko Suzuki,1.309999942779541,3.319999933242798,-1.6801836436984383,0.1569084501974224,1.018189401576904,0.34868029964793623,0.9538384447058437,-0.2926518349228057,0.3988855057462127,0.08648564783754926,-1.366561919667883,0.8656353901923466,0.8044168025767879,0.5,0.5759655983869749,0.7633588119692684,0.30120482533361187,0.4621539866356565,0.75331753,-0.010041277045714891
6,53470,16999,1.0,2019-10-15,Young Seok Lee,Jung-Woong Na,9.199999809265137,1.0470000505447388,-1.910326366089077,-2.0811057461245746,-2.0291601176290355,-3.189050861939786,-2.6799215480413126,-2.241340861640976,-0.06308151384339922,1.2580742621640375,-0.05446073897050824,-3.2529913539378352,-3.6361919469554893,0.5,0.8511006742041278,0.10869565442739683,0.9551097915226601,-0.8464141370952633,0.13577734,0.027081684911859458
7,45206,26144,1.0,2019-10-15,Dusty H. Boyer,Soichiro Moritani,1.4199999570846558,2.7799999713897705,-2.149528867164362,0.21637801086518757,0.24032689862302659,0.025243469953555336,1.00056392787129,0.39376205562214767,0.19147174184883595,0.6722799550007934,0.713675187809153,0.7441582036927467,0.6260918168202222,0.5,0.5280109841856256,0.704225373395827,0.3597122339177876,0.3445131394780394,0.6822784,-0.021946978696730346
8,59993,55656,1.0,2019-10-15,Takuya Kumasaka,Kasidit Samrej,3.9800000190734863,1.2300000190734863,0.15632800994866866,-2.721792453107659,1.653085446059065,-1.5747546683105316,-0.21563528293576606,-0.8665834770397919,-2.4389119003042605,-3.4282801951419155,5.0463353381218585,-0.881449363433051,-1.125580509913979,0.5,0.5591173285341283,0.25125628020293134,0.8130081174740657,-0.5617518372711343,0.38249013,0.13123384807580096
9,59995,12767,1.0,2019-10-15,Ryohei Tagata,Takuto Niki,2.7799999713897705,1.4199999570846558,-1.2198346284974657,-0.46342494470443135,-1.120527791746432,-1.0158522930148972,-1.669453651168068,1.4898076350505396,0.5308760827718161,3.01545718365377,0.10381450287447434,-1.766046645290369,-1.6423379282024886,0.5,0.5333857241899296,0.3597122339177876,0.704225373395827,-0.3445131394780394,0.2957761,-0.0639361349511891
10,26381,1569,1.0,2019-10-15,Christopher Eubanks,Go Soeda,1.9299999475479126,1.8300000429153442,0.810212510302003,0.2642817575935359,-0.24015063241255397,0.2396540536606073,-1.282731807204875,0.14173236566320582,1.9517304376863798,1.5739659155763916,-0.04344390079104298,-0.8836873057273723,-0.6088241165173929,0.0,0.5377077989549862,0.5181347291073825,0.5464480746169359,-0.028313345509553445,0.47806346,-0.040071264942648566
11,8313,22269,1.0,2019-10-15,Tatsuma Ito,Kaichi Uchida,1.309999942779541,3.319999933242798,0.5015588134594845,-0.3218395382034025,0.2831896511346606,0.038456666430863824,0.37198758165533796,0.15247034213887706,-0.19551702994971945,-0.21796799207586437,-0.04344390079104298,0.28672616893518565,0.25689291888382515,0.5,0.5607535776150575,0.7633588119692684,0.30120482533361187,0.4621539866356565,0.7538746,-0.00948421203564409
